project_id,project_author_id,project_author_username,studio_numberscript_count,variable_count,list_count,comment_count,costume_count,sprite_count,block_count,block_unique_count,random_block_count,
236662533,1013358,bcampbell,13,3,8,0,0,6,2,69,27,0
236780808,1013358,bcampbell,14,1,3,0,0,3,1,20,12,0
237299470,1013358,bcampbell,20,2,9,0,3,6,2,68,26,0
235619862,34186303,BCS-Scratch,1,4,0,0,0,6,2,37,14,4
235947936,34186303,BCS-Scratch,2,1,0,0,0,2,1,14,13,0
235602610,3196212,beauturner,1,5,0,0,0,6,2,28,16,3
286508423,21000078,Beezys,1,2,1,0,0,9,2,15,5,0
286535480,21000078,Beezys,2,3,1,0,0,9,1,10,10,0
286778052,21000078,Beezys,4,3,1,0,0,4,1,6,3,0
236063138,34191958,Bevvy,1,4,0,0,0,6,2,15,10,0
227699642,25867,bfoley,1,3,0,0,0,9,2,27,18,1
246608929,9307482,BigAlArt,1,4,0,0,0,5,2,26,11,0
246608889,9307482,BigAlArt,2,2,0,0,0,6,1,15,13,0
246608840,9307482,BigAlArt,3,2,0,0,0,3,1,20,6,0
246608809,9307482,BigAlArt,4,3,0,0,0,8,1,39,13,0
246608788,9307482,BigAlArt,5,3,0,0,0,7,3,38,13,0
246608715,9307482,BigAlArt,6,3,0,0,0,6,2,21,13,0
246608689,9307482,BigAlArt,7,2,0,0,0,3,2,26,10,0
246608664,9307482,BigAlArt,8,12,2,1,0,10,6,139,20,0
246608621,9307482,BigAlArt,9,8,0,0,0,5,3,38,16,0
246608571,9307482,BigAlArt,10,28,1,0,0,20,19,123,17,0
246886422,9307482,BigAlArt,11,19,12,0,0,18,9,457,33,14
247235664,9307482,BigAlArt,12,2,0,0,0,15,1,59,13,0
249243106,9307482,BigAlArt,13,8,0,0,0,14,7,94,21,0
249408684,9307482,BigAlArt,14,6,0,0,0,9,4,60,22,0
250168662,9307482,BigAlArt,15,3,0,0,0,9,3,40,10,0
250470779,9307482,BigAlArt,16,4,0,0,0,10,2,17,8,1
236013080,6562206,bookbird,6,7,0,0,0,9,2,52,17,6
236017450,396674,bpalop,6,2,1,0,0,2,1,29,19,8
235763332,3294920,candib80,1,2,0,0,0,6,2,25,12,1
235766271,3294920,candib80,2,4,2,0,0,9,1,27,17,4
235655513,16962202,canmavila,1,2,0,0,0,6,2,20,11,0
235675028,16962202,canmavila,2,3,0,0,0,3,1,8,8,0
235881698,16962202,canmavila,3,15,0,0,0,14,13,96,10,0
235887930,16962202,canmavila,4,4,0,0,0,4,1,14,9,0
235992331,16962202,canmavila,5,4,0,0,0,5,3,40,11,0
236104490,16962202,canmavila,6,38,1,0,0,29,9,199,17,18
236197959,16962202,canmavila,7,1,0,0,0,3,1,27,9,0
236215446,16962202,canmavila,8,3,1,0,0,6,2,39,19,2
